seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,empty_f1,static_presence_f1,movement_f1,test_samples,max_depth,min_samples_split,top_k
7,100,25,240,60,4026,1013,96,126,0.8134254689042448,0.8129874956196633,0.8129050037849957,0.8935312840802455,0.7740294273130242,0.8039492242595204,0.7384615384615385,0.896551724137931,1013,4,2,126
7,100,25,240,60,4026,1013,96,126,0.8153998025666338,0.8151359855241994,0.815054285709418,0.88308825904314,0.7915803174100794,0.8183118741058655,0.7291981845688351,0.8978978978978979,1013,6,5,126
7,100,25,240,60,4026,1013,96,126,0.8104639684106614,0.810313538303895,0.8102386343942383,0.8583347087364436,0.7583909352198442,0.8226950354609929,0.7220543806646526,0.8861911987860395,1013,8,5,126
7,100,25,240,60,4026,1013,96,126,0.7966436327739388,0.7970802991499765,0.7969916540079189,0.8427338255737403,0.7471156052188531,0.7930535455861071,0.7113095238095238,0.8868778280542986,1013,10,10,126
7,100,25,240,60,4026,1013,96,126,0.8015794669299111,0.8018129741377908,0.8017326747071073,0.8167692398735539,0.7081750115507548,0.8045649072753209,0.7177177177177178,0.8831562974203339,1013,12,5,126
13,100,25,240,60,4028,1011,94,126,0.7962413452027696,0.7911804596643038,0.7913328476512573,0.880163415019636,0.7731986483436223,0.8338028169014085,0.6797385620915033,0.86,1011,4,2,126
13,100,25,240,60,4028,1011,94,126,0.8150346191889218,0.8086517257086627,0.808817432035687,0.8932970615267043,0.7990983978141801,0.8620199146514936,0.6944908180300501,0.8694444444444445,1011,6,5,126
13,100,25,240,60,4028,1011,94,126,0.7962413452027696,0.7898452883263009,0.7900139812275935,0.8476458866111866,0.7333987439980891,0.8438818565400844,0.6733333333333333,0.8523206751054853,1011,8,5,126
13,100,25,240,60,4028,1011,94,126,0.7873392680514342,0.7804683963179695,0.7806414328566909,0.8411842970220226,0.7211230865107746,0.8338028169014085,0.6588628762541806,0.8487394957983193,1011,10,10,126
13,100,25,240,60,4028,1011,94,126,0.7893175074183977,0.7855641497166075,0.7857043777739648,0.837823324632135,0.7183668870710017,0.8200589970501475,0.6782884310618067,0.8583450210378681,1011,12,5,126
21,100,25,240,60,4033,1006,96,126,0.7475149105367793,0.7363779712806932,0.7380518559609397,0.8485683107860787,0.7049556276692082,0.7686062246278755,0.574430823117338,0.8660968660968661,1006,4,2,126
21,100,25,240,60,4033,1006,96,126,0.7564612326043738,0.7534510518934082,0.7547111864576915,0.8382103271941798,0.7129396652011937,0.7880434782608695,0.6336,0.8387096774193549,1006,6,5,126
21,100,25,240,60,4033,1006,96,126,0.7514910536779325,0.7392322332250423,0.7408877032015327,0.8157090604348337,0.6892888467925085,0.7842105263157895,0.5816876122082585,0.8517985611510791,1006,8,5,126
21,100,25,240,60,4033,1006,96,126,0.7475149105367793,0.7391624368549355,0.7407166342548509,0.8219520120640528,0.6896720561754716,0.7823765020026703,0.5914529914529915,0.8436578171091446,1006,10,10,126
21,100,25,240,60,4033,1006,96,126,0.742544731610338,0.7359675993657788,0.73747996977865,0.8001712006088398,0.6502873991494099,0.7736625514403292,0.5913621262458472,0.8428781204111601,1006,12,5,126
