architecture,seed,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,empty_f1,static_presence_f1,movement_f1,test_samples
direct_multiclass,7,0.8252714708785784,0.8238914456863174,0.8238081361325342,0.9545775171340112,0.9147119536585954,0.8319088319088319,0.7314814814814815,0.908284023668639,1013
hierarchical_two_stage,7,0.8371174728529122,0.8370709572872744,0.8369910344545025,,,0.8379562043795621,0.755223880597015,0.9180327868852459,1013
direct_multiclass,13,0.8338278931750742,0.8300601304962836,0.8301999325767957,0.9506222246747557,0.9214984237768572,0.8744588744588745,0.7331189710610932,0.8826025459688827,1011
hierarchical_two_stage,13,0.8199802176063303,0.8181404000126635,0.8182670442914525,,,0.851963746223565,0.7239263803680982,0.8785310734463276,1011
direct_multiclass,21,0.8389662027833003,0.8331979104676662,0.8342863176786517,0.9541813812758928,0.9029559657796553,0.8383705650459922,0.7247386759581882,0.9364844903988183,1006
hierarchical_two_stage,21,0.8369781312127237,0.8322089174675437,0.8332697080664815,,,0.8380187416331994,0.7266553480475382,0.9319526627218935,1006
direct_multiclass,42,0.890748031496063,0.8891603512366908,0.8890829143212643,0.9532143190197434,0.9054950606543534,0.8732782369146006,0.8263665594855305,0.9678362573099415,1016
hierarchical_two_stage,42,0.8848425196850394,0.883549257879033,0.8834691761636563,,,0.865546218487395,0.8201892744479495,0.9649122807017544,1016
direct_multiclass,84,0.8530571992110454,0.8494986367528982,0.8494887409227234,0.9420549202065146,0.8885021080122512,0.8461538461538461,0.7583892617449665,0.943952802359882,1014
hierarchical_two_stage,84,0.8500986193293886,0.8469142486924562,0.846899185993071,,,0.8418230563002681,0.7549668874172185,0.943952802359882,1014
direct_multiclass,126,0.8090999010880316,0.8023692200280886,0.8023692200280885,0.9281215237726257,0.8723012442052118,0.8496551724137931,0.67779632721202,0.8796561604584527,1011
hierarchical_two_stage,126,0.8001978239366964,0.7945600171505914,0.7945600171505914,,,0.8317107093184979,0.6688524590163935,0.8831168831168831,1011
direct_multiclass,168,0.8389662027833003,0.8366232914032598,0.8369985695266611,0.9392802483661842,0.8819823778550117,0.8312412831241283,0.7395498392282959,0.9390787518573551,1006
hierarchical_two_stage,168,0.8359840954274353,0.8336950765061651,0.8340468216327062,,,0.8152327221438646,0.736,0.9498525073746312,1006
direct_multiclass,210,0.8358061325420376,0.8337085892788504,0.8333641069194142,0.9301078203591588,0.8655934538996913,0.797799174690509,0.7313915857605178,0.9719350073855244,1011
hierarchical_two_stage,210,0.8298714144411474,0.828431763765435,0.8280692384200116,,,0.7858156028368795,0.7304075235109718,0.9690721649484536,1011
direct_multiclass,336,0.8274161735700197,0.8272204161402184,0.827012531646554,0.9481796326169284,0.9068601783478168,0.8044077134986226,0.733229329173167,0.9440242057488654,1014
hierarchical_two_stage,336,0.8185404339250493,0.8188225771644712,0.8186229205138684,,,0.8011283497884344,0.7264437689969605,0.9288956127080181,1014
direct_multiclass,512,0.8799603174603174,0.8762322400970866,0.8767750882633829,0.9766093604965086,0.9573205566287806,0.8851540616246498,0.7993366500829188,0.944206008583691,1008
hierarchical_two_stage,512,0.878968253968254,0.8773580048679496,0.8778329055813622,,,0.8843338213762811,0.8099688473520249,0.9377713458755427,1008
