seed,window_packets,step_packets,train_files,test_files,train_windows,test_windows,selected_subcarrier_count,selected_feature_count,accuracy,macro_f1,weighted_f1,roc_auc_ovr_macro,average_precision_macro,empty_f1,static_presence_f1,movement_f1,test_samples,window_seconds,step_seconds,model,top_k
7,12,5,240,60,23365,5871,96,126,0.7240674501788452,0.7216905515101014,0.7216613346435001,0.8705726670480032,0.7789724505153325,0.7440437158469946,0.6395709850409258,0.7814569536423841,5871,0.25,0.1,gradient_boosting_20_d3,126
13,12,5,240,60,23358,5878,94,126,0.7322218441646818,0.7262394235273587,0.7262496833215417,0.8708704871965564,0.792154488271621,0.7865464937348868,0.6483833718244804,0.743788405022709,5878,0.25,0.1,gradient_boosting_20_d3,126
21,12,5,240,60,23391,5845,96,126,0.6843455945252352,0.673254467349374,0.6739683735278557,0.8414535662304697,0.7275024747706459,0.7336601307189542,0.5356143079315707,0.7504889633975971,5845,0.25,0.1,gradient_boosting_20_d3,126
7,25,5,240,60,22861,5747,96,126,0.7887593527057595,0.7861268578903683,0.7861100899958843,0.9161441256403068,0.8387642643374008,0.7915479582146249,0.7006039689387403,0.8662286465177398,5747,0.5,0.1,gradient_boosting_20_d3,126
13,25,5,240,60,22858,5750,94,126,0.8034782608695652,0.7995268682209545,0.7995600687497746,0.9158091720309107,0.863231341270212,0.8500358765845492,0.7293298520452568,0.8192148760330579,5750,0.5,0.1,gradient_boosting_20_d3,126
21,25,5,240,60,22891,5717,96,126,0.7636872485569355,0.7531317887015927,0.7539566013751319,0.9052077032556441,0.8252614758401866,0.800974097852557,0.6174880763116057,0.8409331919406151,5717,0.5,0.1,gradient_boosting_20_d3,126
7,25,12,240,60,9535,2398,96,126,0.7831526271893244,0.780738732377471,0.7807350947176249,0.9192378763515485,0.8461696543706694,0.7851002865329513,0.6949384404924761,0.8621774701069855,2398,0.5,0.25,gradient_boosting_20_d3,126
13,25,12,240,60,9533,2400,94,126,0.8070833333333334,0.8036592197972284,0.8036592197972284,0.9190502604166667,0.8639445949291943,0.8473988439306358,0.7341597796143251,0.8294190358467244,2400,0.5,0.25,gradient_boosting_20_d3,126
21,25,12,240,60,9547,2386,96,126,0.759010896898575,0.7485936747605718,0.7493038271510484,0.9041326271974697,0.8252624823090874,0.802771855010661,0.611906556141673,0.8311026131293817,2386,0.5,0.25,gradient_boosting_20_d3,126
7,37,12,240,60,9295,2338,96,126,0.8105218135158255,0.8072548720478728,0.8072531724464073,0.9286609927175373,0.8611103274379692,0.8092417061611374,0.720682302771855,0.8918406072106262,2338,0.75,0.25,gradient_boosting_20_d3,126
13,37,12,240,60,9293,2340,94,126,0.805982905982906,0.802649590380379,0.8026495903803791,0.9215710607056761,0.8738385525174142,0.8529769137302552,0.7219512195121951,0.8330206378986866,2340,0.75,0.25,gradient_boosting_20_d3,126
21,37,12,240,60,9307,2326,96,126,0.7846087704213242,0.7734121676395415,0.7741401616645686,0.9185449290750136,0.854701354541222,0.8135405105438401,0.6356466876971609,0.8710493046776233,2326,0.75,0.25,gradient_boosting_20_d3,126
7,50,10,240,60,10940,2752,96,126,0.8284883720930233,0.8259847871859435,0.8259551338105944,0.9399722680165675,0.8863702366067736,0.822142491030241,0.744378698224852,0.9114331723027376,2752,1.0,0.2,gradient_boosting_20_d3,126
13,50,10,240,60,10941,2751,94,126,0.8157033805888768,0.8114439202853917,0.8114948561606509,0.9284996393576126,0.8847060112820063,0.8639916623241272,0.7238670694864048,0.8464730290456431,2751,1.0,0.2,gradient_boosting_20_d3,126
21,50,10,240,60,10956,2736,96,126,0.7971491228070176,0.7858310349403862,0.7867368353134393,0.9287984009845753,0.8717736313415737,0.8242074927953891,0.6545454545454545,0.878740157480315,2736,1.0,0.2,gradient_boosting_20_d3,126
7,50,25,240,60,4506,1133,96,126,0.8323036187113857,0.8293772731299872,0.8293054636739636,0.9361630333275305,0.8791232673386054,0.826302729528536,0.7510917030567685,0.9107373868046572,1133,1.0,0.5,gradient_boosting_20_d3,126
13,50,25,240,60,4508,1131,94,126,0.8196286472148541,0.8152187359950499,0.8153428183071336,0.9281114533113278,0.8834915992407416,0.8732747804265998,0.7329376854599406,0.8394437420986094,1131,1.0,0.5,gradient_boosting_20_d3,126
21,50,25,240,60,4513,1126,96,126,0.8028419182948491,0.7915470057492774,0.7927916779424506,0.9247102790877401,0.864942155014386,0.8183908045977012,0.6567656765676567,0.8994845360824743,1126,1.0,0.5,gradient_boosting_20_d3,126
7,75,12,240,60,8573,2155,96,126,0.8417633410672853,0.8401737666139303,0.8401795991031251,0.947301915024695,0.8957416457374219,0.8338892595063375,0.7597354886113152,0.926896551724138,2155,1.5,0.25,gradient_boosting_20_d3,126
13,75,12,240,60,8569,2159,94,126,0.8448355720240852,0.8424875395146892,0.8425220017748808,0.9346524001866169,0.8946667474857914,0.8902691511387164,0.7680835197613721,0.8691099476439791,2159,1.5,0.25,gradient_boosting_20_d3,126
21,75,12,240,60,8584,2144,96,126,0.8013059701492538,0.7921745577019418,0.7929000944758419,0.9321227383288434,0.8768400435577033,0.8135384615384615,0.6661059714045416,0.8968792401628223,2144,1.5,0.25,gradient_boosting_20_d3,126
7,100,25,240,60,4026,1013,96,126,0.8509378084896347,0.8499025831469647,0.8498159268026472,0.9529855308459889,0.913757439856797,0.8394366197183099,0.7725856697819314,0.9376854599406528,1013,2.0,0.5,gradient_boosting_20_d3,126
13,100,25,240,60,4028,1011,94,126,0.8427299703264095,0.8386064426747063,0.8387410441614266,0.9410587844773849,0.9083270788762681,0.8856729377713459,0.7495908346972177,0.8805555555555555,1011,2.0,0.5,gradient_boosting_20_d3,126
21,100,25,240,60,4033,1006,96,126,0.8081510934393639,0.7996465350208523,0.8009191562905414,0.9346826638210471,0.8686213250791114,0.8105263157894737,0.6737967914438503,0.914616497829233,1006,2.0,0.5,gradient_boosting_20_d3,126
