seed,training_mode,n_estimators,n_classes,total_trees,total_nodes,internal_decision_nodes,leaf_nodes,max_depth,selected_features,used_model_feature_positions,used_original_features,train_windows,test_windows,test_groups,comparisons_mean_per_window,comparisons_std_per_window,comparisons_max_per_window,comparisons_min_per_window
7,file_holdout,20,3,60,896,418,478,3,231,133,133,322,95,41,179.97894736842105,0.14355980733669327,180,179
13,file_holdout,20,3,60,896,418,478,3,231,125,125,321,96,41,179.95833333333334,0.19982631347136326,180,179
21,file_holdout,20,3,60,896,418,478,3,231,120,120,342,75,41,179.85333333333332,0.422479453806796,180,178
42,file_holdout,20,3,60,898,419,479,3,231,126,126,344,73,41,179.986301369863,0.11623673115395314,180,179
84,file_holdout,20,3,60,896,418,478,3,231,137,137,325,92,41,179.84782608695653,0.35918938351865887,180,179
126,file_holdout,20,3,60,898,419,479,3,231,136,136,339,78,41,179.97435897435898,0.15806189751202493,180,179
168,file_holdout,20,3,60,898,419,479,3,231,139,139,319,98,41,179.9795918367347,0.14139190265868384,180,179
210,file_holdout,20,3,60,898,419,479,3,231,131,131,338,79,41,179.9493670886076,0.21924693766694656,180,179
336,file_holdout,20,3,60,898,419,479,3,231,113,113,343,74,41,179.97297297297297,0.16216216216216206,180,179
512,file_holdout,20,3,60,900,420,480,3,231,130,130,320,97,41,180.0,0.0,180,180
