rank,feature_index,reduced_subcarrier_index,original_subcarrier,feature_type,fisher_score
1,112,18,145,peak_to_peak,0.1280764615627458
2,109,18,145,std,0.1262170214885378
3,124,20,188,peak_to_peak,0.12109911173974891
4,121,20,188,std,0.11838767600324168
5,118,19,181,peak_to_peak,0.10567528434521445
6,115,19,181,std,0.10316402263206866
7,103,17,134,std,0.09932220676819845
8,23,3,34,energy,0.09897426898251915
9,106,17,134,peak_to_peak,0.09618207490903925
10,37,6,56,std,0.09038083165330217
11,40,6,56,peak_to_peak,0.08841306766477541
12,43,7,66,std,0.0859136341799837
13,46,7,66,peak_to_peak,0.08423159705966902
14,17,2,25,energy,0.0744094093276421
15,58,9,70,peak_to_peak,0.07147425874531568
16,31,5,49,std,0.06976874843521337
17,55,9,70,std,0.06972584066481997
18,34,5,49,peak_to_peak,0.06644764793498444
19,13,2,25,std,0.06505319631143469
20,98,16,117,min,0.06490407350734717
21,19,3,34,std,0.06266048546525925
22,22,3,34,peak_to_peak,0.06211893922912829
23,16,2,25,peak_to_peak,0.06002259664056796
24,96,16,117,mean,0.056110064751521756
25,25,4,42,std,0.05496669077910419
26,94,15,105,peak_to_peak,0.053164831818838396
27,7,1,15,std,0.05287179110887181
28,91,15,105,std,0.051557761912658165
29,64,10,74,peak_to_peak,0.051550667108840806
30,28,4,42,peak_to_peak,0.051505741401305954
